
=== 更新时间: 2025-10-22 13:41:18 ===
- 卫视频道 - 安徽卫视: http://222.134.245.16:9901/tsfile/live/0130_1.m3u8
- 卫视频道ip4 - 安徽卫视: http://223.241.247.214:9901/tsfile/live/0019_1.m3u8
- 🐧┃卫视频道 - 安徽卫视: http://nas.hssvm.com:8888/udp/225.1.1.127:5002
- 📡卫视频道 - 北京卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003870776.m3u8
- 卫视频道ip4 - 兵团卫视: http://218.89.240.144:59901/tsfile/live/0115_1.m3u8
- 📡卫视频道 - 兵团卫视: http://61.138.128.226:19901/tsfile/live/0115_1.m3u8
- 卫视频道ip4 - 东方卫视: http://39.164.160.249:9901/tsfile/live/0107_1.m3u8
- 📡卫视频道 - 东方卫视: http://58.19.43.46:9901/tsfile/live/1035_1.m3u8
- 📡卫视频道 - 东方卫视: http://218.89.240.144:59901/tsfile/live/0107_1.m3u8
- 🐼北方广电 - 东南卫视HD: http://120.76.248.139/live/bfgd/4200000483.m3u8
- 📡卫视频道 - 东南卫视: http://113.57.111.4:1111/tsfile/live/1027_1.m3u8
- 📡卫视频道 - 甘肃卫视: http://223.241.247.214:9901/tsfile/live/0141_1.m3u8
- 卫视台 - 甘肃卫视: http://218.13.170.98:9901/tsfile/live/0141_1.m3u8
- 🥎┃移动央卫 - 广东卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003873459.m3u8
- 📡卫视频道 - 广西卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003887394.m3u8
- 🐧┃卫视频道 - 广西卫视: https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8
- 📡卫视频道 - 广西卫视: http://58.221.214.82:9901/tsfile/live/0113_1.m3u8
- 🐧┃卫视频道 - 贵州卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003873471.m3u8
- 🐼电信专区 - 贵州卫视: http://183.11.239.36:808/hls/49/index.m3u8
- 📡卫视频道 - 贵州卫视: http://222.169.85.8:9901/tsfile/live/0120_1.m3u8
- 🥎┃移动央卫 - 海南卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000004796877.m3u8
- 卫视频道ip4 - 海南卫视: http://113.57.111.4:1111/tsfile/live/1031_1.m3u8
- 📡卫视频道 - 海南卫视: http://58.221.214.82:9901/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0
- 🐧┃卫视频道 - 河北卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003873460.m3u8
- 🐼电信专区 - 河北卫视: http://183.11.239.36:808/hls/54/index.m3u8
- 🚁┃咪咕央卫 - 河南卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003887270.m3u8
- 🥎┃移动央卫 - 湖北卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003873465.m3u8
- 🐼电信专区 - 湖北卫视: http://183.11.239.36:808/hls/46/index.m3u8
- 📡卫视频道 - 湖北卫视: http://123.130.84.106:8154/tsfile/live/0132_1.m3u8
- 📡卫视频道 - 湖北卫视: http://222.240.220.198:9901/tsfile/live/0132_1.m3u8
- 🐧┃卫视频道 - 湖南卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003873458.m3u8
- 🐧┃卫视频道 - 湖南卫视: http://nas.hssvm.com:8888/udp/225.1.1.114:5002
- 📡卫视频道 - 湖南卫视: http://drive.mxmy.net:8888/udp/239.3.1.132:8012
- 🥎┃移动央卫 - 吉林卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000004972569.m3u8
- 电视伴音 - 吉林卫视: http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8
- 📡卫视频道 - 吉林卫视: http://182.150.23.74:808/hls/35/index.m3u8
- 📡卫视频道 - 吉林卫视: http://58.221.214.82:9901/tsfile/live/0116_1.m3u8
- 🥎┃移动央卫 - 江苏卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003873461.m3u8
- 🥎┃移动央卫 - 江西卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000004796511.m3u8
- 🐼联通专区 - 江西卫视: http://58.17.48.228:808/hls/17/index.m3u8
- 📡卫视频道 - 江西卫视: http://111.14.181.15:9901/tsfile/live/0138_1.m3u8
- 卫视频道ip4 - 康巴卫视: http://218.89.240.144:59901/tsfile/live/1010_1.m3u8
- 📡卫视频道 - 康巴卫视: http://36.105.100.208:35455/itv/1000000005000266002.m3u8?cdn=ystenlive
- 🐧┃卫视频道 - 辽宁卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003873468.m3u8
- 🐼电信专区 - 辽宁卫视: http://183.11.239.36:808/hls/47/index.m3u8
- 🐼北方广电 - 辽宁卫视: http://120.76.248.139/live/bfgd/4200000185.m3u8
- 📡卫视频道 - 辽宁卫视: http://113.57.111.4:1111/tsfile/live/1026_1.m3u8
- 📡卫视频道 - 宁夏卫视: http://cssbyd.imwork.net:8082/hls/45/index.m3u8
- 卫视频道 - 农林卫视: http://112.46.105.20:8009/hls/27/index.m3u8
- 🥎┃移动央卫 - 青海卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003887430.m3u8
- 卫视频道ip4 - 三沙卫视: https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
- 🐧┃卫视频道 - 三沙卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003887452.m3u8
- 卫视频道 - 三沙卫视: http://36.105.100.208:35455/itv/5000000011000288016.m3u8?cdn=bestzb
- 卫视频道 - 厦门卫视: http://3501776.xyz:35455/itv/1000000005000266006.m3u8?cdn=ystenlive
- ☘️福建频道 - 厦门卫视: http://36.105.100.208:35455/itv/1000000005000266006.m3u8?cdn=ystenlive
- 🐼电信专区 - 山东卫视: http://183.11.239.36:808/hls/43/index.m3u8
- 📡卫视频道 - 山东卫视: http://222.169.85.8:9901/tsfile/live/0131_1.m3u8
- 卫视台 - 山东卫视: http://111.14.181.15:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
- 卫视频道 - 山西卫视: http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel7/playlist.m3u8
- 🥎┃移动央卫 - 陕西卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003887404.m3u8
- 卫视频道 - 陕西卫视: http://hlsbkmgsplive.miguvideo.com/migu/kailu/shan3xiws/57/20220809/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
- 🍄┃广东频道 - 深圳卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003873474.m3u8
- 📡卫视频道 - 四川卫视: http://113.57.111.4:1111/tsfile/live/1032_1.m3u8
- 📡卫视频道 - 四川卫视: http://111.14.181.15:9901/tsfile/live/0123_1.m3u8
- 卫视台 - 四川卫视: http://1.24.190.98:10080/hls/86/index.m3u8
- 🐧┃卫视频道 - 天津卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003873466.m3u8
- 📡卫视频道 - 天津卫视: http://113.57.111.4:1111/tsfile/live/1024_1.m3u8
- 📡卫视频道 - 天津卫视: http://111.14.181.15:9901/tsfile/live/0135_1.m3u8
- 🐧┃卫视频道 - 西藏卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003887434.m3u8
- 🐼北方广电 - 西藏卫视: http://120.76.248.139/live/bfgd/4200000121.m3u8
- 🐧┃卫视频道 - 新疆卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003887448.m3u8
- 📡卫视频道 - 新疆卫视: http://111.61.236.247:9081/hls/53/index.m3u8
- 📡卫视频道 - 新疆卫视: http://113.25.252.226:9901/tsfile/live/0110_1.m3u8
- ☘️吉林频道 - 延边卫视: http://36.105.100.208:35455/itv/1000000005000266008.m3u8?cdn=ystenlive
- 🐧┃卫视频道 - 云南卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003887453.m3u8
- 📡卫视频道 - 云南卫视: http://111.61.236.247:9081/hls/32/index.m3u8
- 📡卫视频道 - 浙江卫视: http://182.150.23.74:808/hls/22/index.m3u8
- 卫视台 - 浙江卫视: http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
- 🐧┃卫视频道 - 重庆卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000004796458.m3u8
- 🐼电信专区 - 重庆卫视: http://183.11.239.36:808/hls/53/index.m3u8
- 📡卫视频道 - 重庆卫视: https://www.yangshipin.cn/tv/home?pid=600002531
- 🐧┃卫视频道 - 重庆卫视: http://drive.mxmy.net:8888/udp/239.3.1.122:8160
- 卫视频道ip4 - 安多卫视: http://39.134.66.66/PLTV/88888888/224/3221225531/1.m3u8
- 卫视频道 - 安多卫视: http://3501776.xyz:35455/itv/1000000005000266001.m3u8?cdn=ystenlive
- 🐼电信专区 - 黑龙江卫视: http://183.11.239.36:808/hls/48/index.m3u8
- 🐧┃卫视频道 - 内蒙古卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003887427.m3u8
- 📡卫视频道 - 内蒙古卫视: http://61.138.128.226:19901/tsfile/live/0109_1.m3u8
- 📡卫视频道 - 内蒙古卫视: http://nas.hssvm.com:8888/udp/225.1.1.32:5002
- 📡卫视频道 - 内蒙古卫视: http://61.156.228.12:8154/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
- 卫视频道 - 山东教育: https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
- 🐧┃卫视频道 - 香港卫视: http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
- 影视 - CHC动作电影: http://nas.hssvm.com:8888/udp/225.1.1.215:5002
- 电影频道ip4 - CHC家庭影院: http://nas.hssvm.com:8888/udp/225.1.1.213:5002
- 电影频道 - CHC影迷电影: http://113.195.172.192:808/hls/112/index.m3u8
- 电影频道 - 黑莓电影: http://36.105.100.208:35455/itv/1000000004000019624.m3u8?cdn=ystenlive
- 电影频道 - 凤凰电影: http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
- 电影频道 - 龙华电影: https://cdn8.163189.xyz/live/lhdy/stream.m3u8
- 电影频道 - AMC电影: http://61.221.215.25:8800/hls/43/index.m3u8
- 电影频道 - 东阳影视生活: http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
- 电影频道 - 人在囧途: https://vip.ffzy-play.com/20221018/1953_2d6ba500/index.m3u8
- 电影频道 - 人在囧途之泰囧: https://vip.ffzy-play.com/20221018/1951_47e1adc8/index.m3u8
- 电影频道 - 人在囧途之港囧: https://vip.ffzy-play7.com/20230112/11082_fde1a94d/index.m3u8
- 电影频道 - 倚天屠龙记: http://iptv.jxpan.vip:18888/aio/huya/23734246
- 电影频道 - 倩女幽魂人间道: http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
- 电影频道 - 倩女幽魂妖魔道: http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8
- 电影频道 - 倩女幽魂道道道: http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8
- 埋堆堆频道 - 创世纪: http://iptv.jxpan.vip:18888/aio/huya/29465852
- ☘️广西频道 - 南宁影视娱乐: http://688b7cbf9b7a8d911a085372b6c70ab5.livehwc3.cn/hls.nntv.cn/nnlive/YSYL_244.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=e7eb508555e76e08cc1b198d04f41fb5
- 电影频道 - 周杰伦MV: http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
- 电影频道 - 哈尔滨影视: http://111.43.126.240:9003/hls/5/index.m3u8
- 各地方台6 - 哈尔滨影视: https://stream.hrbtv.net/yspd/sd/live.m3u8
- 电影频道 - 哈尔滨影视: http://stream.hrbtv.net/yspd/sd/live.m3u8
- 电影频道 - 哈尔滨影视: http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild
- 电影频道 - 嘉兴文化影视: http://play-sh13.quklive.com/live/1675149625220101.m3u8?auth_key=2028730374-3a60eb8e324f416aa3b26dda7679d920-0-22dc7efa8452d0b0665c15eeed83609d
- 埋堆堆频道 - 妙手仁心: http://iptv.jxpan.vip:18888/aio/huya/29465853
- 电影频道 - 寒战: https://vip.ffzy-play6.com/20221019/157_bf0740ee/index.m3u8
- 埋堆堆频道 - 封神榜: http://iptv.jxpan.vip:18888/aio/huya/29465849
- 电影频道 - 我不是药神: https://vip.ffzy-play1.com/20221018/478_c3afed66/index.m3u8
- 埋堆堆频道 - 扫黄先锋: http://iptv.jxpan.vip:18888/aio/huya/29465855
- 电影频道 - 拆弹专家1: https://vip.ffzy-online.com/20221015/719_80ff87c2/index.m3u8
- 电影频道 - 拆弹专家2: https://vip.ffzy-online.com/20221015/722_e32c42bc/index.m3u8
- 未分组 - 斗鱼电影1y: http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=2ccc7b4ba29208aaba62dae54cbbd68c&token=cpn-androidmpro-0-20415-b6774b3b3249db17fff84d73c7585c95e780dbccdb08e4bc&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
- 电影 - 三号影厅: http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
- 未分组 - 斗鱼电影4y: http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=99705a1921ddd49fb7079a02f02bedc4&token=cpn-androidmpro-0-20415-b6774b3b3249db17d8beee6676fdf877fe8b1576307ef8e6&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
- 电影频道ip4 - 末日电影合集: http://43.138.0.72:35455/yy/1354889019
- 埋堆堆频道 - 楚汉骄雄: http://iptv.jxpan.vip:18888/aio/huya/29465854
- 埋堆堆频道 - 法政先锋: http://iptv.jxpan.vip:18888/aio/huya/23863804
- 电影频道 - 泰州三套影视娱乐: http://stream1.mytaizhou.net/ysyl/playlist.m3u8?_upt=16dfe82d1725409426
- 埋堆堆频道 - 洗冤录: http://iptv.jxpan.vip:18888/aio/huya/29465851
- 电影频道 - 活佛济公3: http://iptv.jxpan.vip:18888/aio/huya/23903123
- 省级频道 - 浙江影视: https://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
- 电影频道 - 浙江教科影视: https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
- 电影频道 - 浙江教科影视: http://ali-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
- 🎬┃电影频道 - 淘娱乐: http://dsj.motem.top:8880/bptv/10000100000000050000000003887499.m3u8
- 🎬┃电影频道 - 淘电影: http://dsj.motem.top:8880/bptv/10000100000000050000000003887498.m3u8
- 🐼新疆ID40 - 新疆石河子影视: http://124.88.144.73:1935/live/jjsh/playlist.m3u8
- 电影" tvg-id="null" tvg-name="null" tvg-logo="https://gh-proxy.com/raw.githubusercontent.com/suxuang/myIPTV/main/img/电影.png" t-time="153" v-w="0" v-h="0 - 可乐影院: http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=3b64dd17d293b133c58bda21e3147e5b&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
- 解说频道 - 笑看风云: http://iptv.jxpan.vip:18888/aio/huya/29465858
- 埋堆堆频道 - 西游记2: http://iptv.jxpan.vip:18888/aio/huya/29465859
- 电影频道 - 让子弹飞: https://vip.ffzy-play7.com/20230116/11563_b9f44814/index.m3u8
- 数字频道 - 中国电影频道: https://live.tvfix.org/live/cmc/index.m3u8
- 电影频道 - 辽宁影视剧: http://120.76.248.139/live/bfgd/4200000070.m3u8
- 埋堆堆频道 - 野蛮亲家: http://iptv.jxpan.vip:18888/aio/huya/23863796
- 埋堆堆频道 - 金枝欲孽: http://iptv.jxpan.vip:18888/aio/huya/29465847
- 电影频道 - 鉴证实录: http://iptv.jxpan.vip:18888/aio/huya/23903183
- 电影频道 - 陕西西部电影: http://112.46.105.20:8009/hls/62/index.m3u8
- 电影频道 - 韩国电影1: https://stream.ads.ottera.tv/playlist.m3u8?network_id=595
- 电影频道 - 韩国电影2: https://stream.ads.ottera.tv/playlist.m3u8?network_id=743
- 电影频道 - 龙门飞甲: http://jsmov2.a.yximgs.com/bs3/video-hls/5203346449046555193_hlsb.m3u8
- 数字频道 - 纪实科教8K: http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
- NewTV频道 - NewTV 东北热剧: http://39.134.65.175/PLTV/88888888/224/3221225679/1.m3u8
- 数字频道 - 乐游: http://112.46.105.20:8009/hls/75/index.m3u8
- 数字频道 - 搜狐剧场: https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
- 数字频道 - 新视觉: http://120.76.248.139/live/bfgd/4200000249.m3u8
- NewTV频道 - NewTV 欢乐剧场: http://39.134.65.175/PLTV/88888888/224/3221225682/1.m3u8
- 数字频道 - 纪实科教: http://120.76.248.139/live/bfgd/4200000113.m3u8
- 数字频道 - 都市剧场: http://112.46.105.20:8009/hls/72/index.m3u8
- 数字频道 - 黑莓动画: http://39.134.65.106/PLTV/88888888/224/3221225529/1.m3u8
- 🪁动画频道 - 黑莓动画: http://36.105.100.208:35455/itv/1000000004000021734.m3u8?cdn=ystenlive
- 儿童频道ip4 - 优漫卡通: http://58.221.214.82:9901/tsfile/live/0008_2.m3u8
- 动画片 - 优漫卡通: http://36.105.100.208:35455/itv/1000000002000010063.m3u8?cdn=ystenlive
- 动画片 - 优漫卡通: http://3501776.xyz:35455/itv/1000000002000010063.m3u8?cdn=ystenlive
- 儿童频道ip4 - 卡酷少儿: http://61.138.128.226:19901/tsfile/live/1017_1.m3u8
- 📚┃动画频道 - 金鹰卡通: http://dsj.motem.top:8880/bptv/10000100000000050000000004796942.m3u8
- 动画片 - 金鹰卡通: http://218.89.240.144:59901/tsfile/live/1002_1.m3u8
- 儿童频道 - 浙江少儿: https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
- 儿童频道 - 浙江少儿: http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
- 儿童频道 - 浙江少儿: http://ali-vl.cztv.com/channels/lantian/channel008/360p.m3u8
- 儿童频道 - 浙江少儿: http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?fbl=
- 儿童频道 - 浙江少儿: https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?
- 儿童频道ip4 - 哈哈炫动: http://58.57.40.22:9901/tsfile/live/1061_1.m3u8
- 儿童频道ip4 - 哈哈炫动: http://61.138.128.226:19901/tsfile/live/1016_1.m3u8
- 儿童频道ip4 - 哈哈炫动: http://60.29.124.66:6080/hls/62/index.m3u8
- ☘️上海频道 - 哈哈炫动: http://36.105.100.208:35455/itv/5000000011000031123.m3u8?cdn=bestzb
- 儿童频道 - 中华小当家: http://iptv.jxpan.vip:18888/aio/huya/11342413
- 动画片 - 动漫秀场: http://36.105.100.208:35455/itv/5000000011000031113.m3u8?cdn=bestzb
- 动画频道 - 名侦探柯南: http://iptv.jxpan.vip:18888/aio/huya/30080236
- 儿童频道 - 哆啦A梦: http://iptv.jxpan.vip:18888/aio/huya/11601963
- 📚┃动画频道 - 少儿动画: http://218.15.183.23:9901/tsfile/live/23045_1.m3u8
- 📚┃动画频道 - 少儿动画: http://61.138.128.226:19901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
- 儿童频道 - 武汉少儿频道: http://hzzzz530.com:4022/udp/239.69.1.6:9676
- 📚┃动画频道 - 火影忍者: https://hd.ijycnd.com/play/Yer3NWLa/index.m3u8
- 动画频道 - 猫和老鼠: http://iptv.jxpan.vip:18888/aio/huya/11352879
- 儿童频道 - 猫和老鼠: https://live.iill.top/huya/11352879
- 儿童频道 - 福州少儿: http://live.zohi.tv/video/s10001-fztv-4/index.m3u8
- 动画频道 - 精灵宝可梦: http://iptv.jxpan.vip:18888/aio/huya/23749096
- 儿童频道 - 韩国EBS少儿: http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
- 儿童频道 - 黑龙江少儿: https://ls.qingting.fm/live/4972/64k.m3u8
- 广东频道 - 广东珠江: http://cdn2.132.us.kg/live/gdzj/stream.m3u8
- 🍄┃广东频道 - 广东珠江: https://tv.cdn.com.mp/live/gdzj/stream.m3u8
- ☘️广东频道 - 广东珠江: http://36.105.100.208:35455/itv/2000000003000000033.m3u8?cdn=hnbblive
- ☘️福建频道 - 厦门卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003887454.m3u8
- 广东频道 - 大湾区卫视: http://3501776.xyz:35455/itv/1000000002000011619.m3u8?cdn=ystenlive
- 广东频道 - 大湾区卫视: http://36.105.100.208:35455/itv/1000000002000011619.m3u8?cdn=ystenlive
